"group"	"nsiggenes"	"ngenes"	"pval"	"sig"
"95"	"GO:0001895"	"4"	"41"	"0.00165106240304468"	"FALSE"
"96"	"GO:0004683"	"0"	"22"	"1"	"FALSE"
"97"	"GO:0004857"	"1"	"31"	"0.302088625864504"	"FALSE"
"98"	"GO:0004864"	"0"	"35"	"1"	"FALSE"
"99"	"GO:0005778"	"0"	"55"	"1"	"FALSE"
"100"	"GO:0006171"	"1"	"17"	"0.183217059210836"	"FALSE"
"101"	"GO:0006294"	"0"	"29"	"1"	"FALSE"
"102"	"GO:0007193"	"0"	"48"	"1"	"FALSE"
"103"	"GO:0008135"	"0"	"28"	"1"	"FALSE"
"104"	"GO:0008654"	"0"	"33"	"1"	"FALSE"
"105"	"GO:0009617"	"1"	"22"	"0.227842327490384"	"TRUE"
"106"	"GO:0017148"	"1"	"56"	"0.47283776276975"	"FALSE"
"107"	"GO:0030126"	"0"	"13"	"1"	"FALSE"
"108"	"GO:0030897"	"0"	"14"	"1"	"FALSE"
"109"	"GO:0032947"	"1"	"45"	"0.403593954860947"	"FALSE"
"110"	"GO:0035327"	"0"	"20"	"1"	"FALSE"
"111"	"GO:0042476"	"1"	"28"	"0.278172700544439"	"FALSE"
"112"	"GO:0045742"	"0"	"24"	"1"	"FALSE"
"113"	"GO:0047496"	"0"	"14"	"1"	"TRUE"
"114"	"GO:0051497"	"1"	"17"	"0.183217059210836"	"FALSE"
"115"	"GO:0060337"	"4"	"63"	"0.00697719825847699"	"FALSE"
"116"	"GO:0070064"	"0"	"19"	"1"	"FALSE"
"117"	"GO:0070584"	"1"	"19"	"0.201369938019661"	"FALSE"
"118"	"GO:0070987"	"0"	"19"	"1"	"FALSE"
"119"	"GO:0001104"	"0"	"36"	"1"	"FALSE"
"120"	"GO:0001892"	"0"	"20"	"1"	"FALSE"
"121"	"GO:0003712"	"0"	"66"	"1"	"FALSE"
"122"	"GO:0004722"	"0"	"56"	"1"	"TRUE"
"123"	"GO:0005123"	"0"	"16"	"1"	"FALSE"
"124"	"GO:0005669"	"0"	"23"	"1"	"FALSE"
"125"	"GO:0005798"	"0"	"15"	"1"	"FALSE"
"126"	"GO:0006297"	"0"	"24"	"1"	"FALSE"
"127"	"GO:0006368"	"0"	"82"	"1"	"FALSE"
"128"	"GO:0006488"	"0"	"15"	"1"	"FALSE"
"129"	"GO:0006511"	"0"	"173"	"0.270448995586824"	"FALSE"
"130"	"GO:0009952"	"0"	"78"	"1"	"FALSE"
"131"	"GO:0017025"	"0"	"20"	"1"	"FALSE"
"132"	"GO:0019915"	"0"	"24"	"1"	"FALSE"
"133"	"GO:0030148"	"0"	"40"	"1"	"FALSE"
"134"	"GO:0030215"	"0"	"22"	"1"	"FALSE"
"135"	"GO:0031418"	"0"	"21"	"1"	"FALSE"
"136"	"GO:0034198"	"1"	"25"	"0.253433426475892"	"FALSE"
"137"	"GO:0034612"	"0"	"29"	"1"	"FALSE"
"138"	"GO:0035666"	"0"	"27"	"1"	"FALSE"
"139"	"GO:0036152"	"2"	"23"	"0.031749076680181"	"FALSE"
"140"	"GO:0043011"	"0"	"20"	"1"	"FALSE"
"141"	"GO:0043560"	"0"	"12"	"1"	"FALSE"
"142"	"GO:0048514"	"0"	"17"	"1"	"FALSE"
"143"	"GO:0080182"	"0"	"14"	"1"	"FALSE"
"144"	"GO:0097193"	"0"	"29"	"1"	"FALSE"
"145"	"GO:1903506"	"0"	"29"	"1"	"FALSE"
"146"	"GO:2000785"	"1"	"15"	"0.164649672585596"	"FALSE"
"147"	"GO:0000002"	"0"	"13"	"1"	"FALSE"
"148"	"GO:0000717"	"0"	"22"	"1"	"FALSE"
"149"	"GO:0001541"	"2"	"48"	"0.10805762129913"	"FALSE"
"150"	"GO:0001569"	"0"	"28"	"1"	"FALSE"
"151"	"GO:0001819"	"1"	"24"	"0.244999141765627"	"FALSE"
"152"	"GO:0003823"	"0"	"181"	"0.27354797225664"	"FALSE"
"153"	"GO:0004812"	"0"	"14"	"1"	"FALSE"
"154"	"GO:0005681"	"0"	"88"	"1"	"FALSE"
"155"	"GO:0006294"	"0"	"29"	"1"	"FALSE"
"156"	"GO:0006296"	"0"	"37"	"1"	"FALSE"
"157"	"GO:0006261"	"0"	"17"	"1"	"FALSE"
"158"	"GO:0006801"	"1"	"18"	"0.192344726251479"	"FALSE"
"159"	"GO:0006928"	"3"	"86"	"0.0788446945327728"	"FALSE"
"160"	"GO:0007159"	"2"	"27"	"0.0417195982458219"	"FALSE"
"161"	"GO:0017048"	"1"	"28"	"0.278172700544439"	"FALSE"
"162"	"GO:0030057"	"2"	"25"	"0.0366026398560072"	"TRUE"
"163"	"GO:0031011"	"0"	"16"	"1"	"FALSE"
"164"	"GO:0031267"	"0"	"17"	"1"	"FALSE"
"165"	"GO:0032040"	"0"	"34"	"1"	"TRUE"
"166"	"GO:0035024"	"1"	"14"	"0.155207576026551"	"FALSE"
"167"	"GO:0035994"	"0"	"16"	"1"	"FALSE"
"168"	"GO:0043014"	"0"	"29"	"1"	"TRUE"
"169"	"GO:0043484"	"0"	"27"	"1"	"FALSE"
"170"	"GO:0045987"	"0"	"22"	"1"	"FALSE"
"171"	"GO:0046716"	"0"	"19"	"1"	"FALSE"
"172"	"GO:0048025"	"1"	"20"	"0.210293849620694"	"FALSE"
"173"	"GO:0050681"	"1"	"39"	"0.362045540994488"	"FALSE"
"174"	"GO:0055093"	"0"	"21"	"1"	"FALSE"
"175"	"GO:0060412"	"0"	"23"	"1"	"FALSE"
"176"	"GO:0071363"	"0"	"51"	"1"	"FALSE"
"177"	"GO:0090023"	"0"	"23"	"1"	"FALSE"
"178"	"GO:0090398"	"0"	"23"	"1"	"FALSE"
"179"	"GO:0097193"	"0"	"29"	"1"	"FALSE"
"180"	"GO:1900087"	"0"	"21"	"1"	"FALSE"
