"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"	"model"
"GO:0034199"	0.00208561146090068	0.359197844266735	0.382102511324406	0.171758110595414	0.00836005068159457	0.00112889078584456	0.0498088202855162	0.00283398501181889	0.0227241755877695	"0.382102511324406"	"3"	"HCanc-to-anc"
"GO:0034198"	0.0871084898401231	0.039791933934424	0.229664249332561	0.380621384320409	0.056646784455973	0.0749814796177368	0.0377070849068155	0.0811701310788546	0.0123084625131029	"0.380621384320409"	"4"	"Gorilla-to-anc"
"GO:0030855"	2.5723228048739e-17	5.82400174628516e-09	9.58040863137461e-06	1.01652627551821e-11	0.0271867241333453	4.47177552877521e-15	1.03139605021256e-16	8.78737687405038e-13	0.972803689622973	"0.972803689622973"	"9"	"OU"
"GO:0031100"	6.92584517496541e-07	0.893681826117511	1.32816399261285e-06	1.04330677461971e-06	3.29781009334407e-07	0.00474722556598483	0.000364563711938792	0.000156328595911135	0.10104666217236	"0.893681826117511"	"2"	"Chimp-to-anc"
"GO:0050830"	4.56052183060403e-27	6.73257464094864e-13	3.95359249494027e-14	2.37412059952135e-27	0.999999999998698	3.24985315442956e-27	1.76159418930263e-25	6.78834371341577e-24	5.89031300799812e-13	"0.999999999998698"	"5"	"HCGanc-to-anc"
"GO:0050839"	0.00175288012618599	0.933893096648	0.00271066619195923	0.00203234205108602	0.041322838485715	0.000764695210886323	0.00103422172282236	0.0164885934263358	6.6613700928876e-07	"0.933893096648"	"2"	"Chimp-to-anc"
"GO:0051781"	4.84795920815141e-16	1.37102412682734e-08	1.04767879546966e-05	5.44652292753522e-13	0.999962685768643	2.50291767153087e-14	1.23033714716503e-14	4.31073662643387e-14	2.68237325351194e-05	"0.999962685768643"	"5"	"HCGanc-to-anc"
"GO:0010906"	1.29409960542946e-12	7.68405755371729e-07	0.999991401404081	7.82839024165265e-06	5.1356500618298e-13	6.53131272248372e-13	5.0224420138422e-11	3.29268862771275e-11	1.71430949413265e-09	"0.999991401404081"	"3"	"HCanc-to-anc"
"GO:0046658"	0.0348565035958263	0.0138828820274801	0.0540284591777165	0.0792310234458633	0.0132001707692213	0.143051674378814	0.206075277740104	0.445507372935177	0.0101666359297977	"0.445507372935177"	"8"	"Monkey-to-anc"
"GO:0046655"	0.00602879058817101	0.0183297554349941	0.2119025112962	0.00579809681581055	0.6938056859995	0.00649854419176325	0.00266824946435891	0.00767206131133289	0.047296304897869	"0.6938056859995"	"5"	"HCGanc-to-anc"
"GO:0005719"	0.1486785975932	0.0680131908562324	0.114692897707236	0.141851040375977	0.202780434409556	0.0579555548621845	0.0640623987714221	0.148009826629922	0.0539560587942703	"0.202780434409556"	"5"	"HCGanc-to-anc"
"GO:0051879"	0.0257541119598887	0.0172353978284933	0.00977490398534026	0.0141549742992734	0.0112380289876537	0.296573228679293	0.593208593785537	0.0226623519606365	0.00939840851388382	"0.593208593785537"	"7"	"HCGOanc-to-anc"
