"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"
"GO:2000060"	0.018306426	0.316123981	0.008718403	0.007933918	0.154428002	0.026255323	0.006979144	0.208634029	0.252620773	"0.316123981"	"2"
"GO:0045445"	0.005741804	0.010655379	0.332322582	0.028675631	0.510557731	0.003566814	0.019778737	0.002933379	0.085767944	"0.510557731"	"5"
"GO:0045444"	2.52e-13	2.74e-11	3.63e-07	3.93e-13	0.692564193	4.01e-13	1.69e-11	3.34e-10	0.307435444	"0.692564193"	"5"
"GO:0070064"	1.25e-07	0.084687948	0.219576431	0.000114427	1.99e-05	6.25e-08	2.47e-05	8.43e-06	0.69556799	"0.69556799"	"9"
"GO:0070063"	3.16e-05	0.00130746	1.32e-05	2.16e-05	1.23e-05	0.933445487	3.34e-05	0.000443027	0.064691979	"0.933445487"	"6"
"GO:0070062"	0	1.62e-188	4.9e-69	1.44e-265	4.05e-93	0	2.9942770255617e-315	1.55e-237	1	"1"	"9"
"GO:0051276"	6.16e-07	0.000539221	0.03761014	3.72e-06	0.801548333	2.41e-07	1.03e-06	1.95e-05	0.160277192	"0.801548333"	"5"
"GO:0007368"	0.000324009	0.069322336	0.536048898	0.226573573	0.000128465	0.000134728	0.000125022	0.146646427	0.020696544	"0.536048898"	"3"
"GO:0071333"	2.18e-11	4.54e-06	0.006120506	6.04e-09	0.943478668	2.31e-11	7.51e-10	1.41e-09	0.050396274	"0.943478668"	"5"
"GO:0071339"	0.010979494	0.091580941	0.148177376	0.019978413	0.036416514	0.002041059	0.004671438	0.120743543	0.56541122	"0.56541122"	"9"
"GO:0030449"	0.000504805	0.865476826	0.06940037	0.002018545	0.002506999	0.00050147	0.001943382	0.006298813	0.051348788	"0.865476826"	"2"
"GO:0035162"	6.76e-07	3.26e-05	0.031964587	7.81e-06	0.250670194	2.53e-07	1.73e-05	6.04e-06	0.717300521	"0.717300521"	"9"
"GO:0061418"	0.035647517	0.032511229	0.202321961	0.044359429	0.612568861	0.013513842	0.027027365	0.018712151	0.013337645	"0.612568861"	"5"
"GO:0042098"	6.09e-06	0.000294333	0.044554599	6.1e-05	0.198810783	3.52e-06	2.55e-06	0.000493574	0.755773509	"0.755773509"	"9"
"GO:0006361"	0.000170321	0.035079126	0.000270107	6.34e-05	0.002856471	0.000106626	6.73e-05	0.08979956	0.871587074	"0.871587074"	"9"
"GO:0006360"	0.000170321	0.035079126	0.000270107	6.34e-05	0.002856471	0.000106626	6.73e-05	0.08979956	0.871587074	"0.871587074"	"9"
"GO:0006363"	0.000209611	0.028099651	0.000327798	7.88e-05	0.002940435	0.000148178	8.01e-05	0.064401257	0.903714192	"0.903714192"	"9"
"GO:0006362"	0.000663746	0.033017967	0.000520787	0.000257855	0.002125272	0.00054376	0.000263735	0.118833824	0.843773055	"0.843773055"	"9"
"GO:0006364"	3.21e-16	9.17e-12	2.42e-09	5.47e-16	0.999983994	3.12e-16	5.87e-14	3.97e-14	1.6e-05	"0.999983994"	"5"
"GO:0006367"	4.46e-24	9.48e-13	0.055495685	3.29e-17	0.786196274	1.9e-24	4.79e-22	5.83e-15	0.158308041	"0.786196274"	"5"
"GO:0006366"	4.46e-55	1.23e-26	3.39e-21	8.13e-47	0.005404914	4.65e-55	2.96e-50	3.95e-33	0.994595086	"0.994595086"	"9"
"GO:0006369"	5.33e-07	3.95e-05	0.013421342	1.86e-06	0.969689471	1.96e-07	6.76e-05	8.41e-07	0.016778629	"0.969689471"	"5"
"GO:0006368"	3.38e-05	0.003664615	0.081090399	5.03e-05	0.058026077	1.9e-05	1.39e-05	0.115222518	0.741879315	"0.741879315"	"9"
"GO:0016363"	3.93e-19	2.52e-10	4.71e-08	1.97e-17	7.79e-06	1.53e-18	8.12e-18	2.83e-12	0.999992166	"0.999992166"	"9"
