	means	highs	highs_freq	lows	lows_freq
chimp_mode	0.457317304	4.361242498	40	-0.658089894	140
chimp_mean	-7.35146713	26.93642648	60	-24.49541394	120
gorilla_mode	0.089062366	3.939842825	29	-0.650491497	151
gorilla_mean	-8.487426767	30.36240105	60	-27.91234067	120
orangutan_mode	0.1352326	4.557496888	23	-0.512615035	157
orangutan_mean	-4.263091393	39.8288515	56	-24.17558173	124
monkey_mode	0.140150043	4.436037208	45	-1.291812345	135
monkey_mean	10.81414854	91.29882122	56	-25.53376815	124
