"group"	"chimp_mode"	"chimp_mean"	"gorilla_mode"	"gorilla_mean"	"orangutan_mode"	"orangutan_mean"	"monkey_mode"	"monkey_mean"
"1"	"GO:0005521"	0.299203434902182	-15.8070242692308	3.38959950999884	6.76822532307692	-0.458048117233986	-9.98641855384616	-1.0069054129262	-7.7939006
"2"	"GO:0006904"	1.24337291920995	43.3029754473684	0.828853737556074	5.64834934210526	4.11331089668478	11.7452869736842	-1.3849721316276	13.9259917684211
"3"	"GO:0030863"	-5.24893814689444	-4.94279478571428	-0.595141543667921	-1.98232564285714	0.378171069093042	20.51789975	1.12570133219321	-4.24615627571428
"4"	"GO:0030955"	-1.00759623202164	-6.28502460909091	1.22771608835375	18.8759164090909	2.75060962406536	-12.6389685909091	5.97058471747685	2.99127322727272
"5"	"GO:0033276"	-0.401283630752625	1.55797409090909	0.798744277519903	4.68290345454546	3.55277475607069	13.8081645454545	3.00162333308265	3.26661390909091
"6"	"GO:0035097"	0.019487812997987	2.47118873333333	0.990771417585272	2.3292298	-0.0388081350698535	0.840507933333333	3.07985642152491	1.8375362
"7"	"GO:0043034"	-1.29181823176597	1.46023238461539	4.04967167821136	4.87966576923077	4.72747018227444	-0.259616	-4.11695987587863	1.56247353846154
"8"	"GO:0046513"	-1.8396127783902	-2.8527669	-2.7921079998045	-4.70780804705882	-6.18859517761314	-5.38887872941176	-0.375214724134132	-4.12397087058824
"9"	"GO:0048813"	-1.15937682117354	-2.08885254230769	0.968981270740635	1.70371469230769	0.694035332499571	1.47420309230769	4.09330601965872	3.91972296153846
"10"	"GO:0051968"	-1.57746010598416	44.5644820090909	0.827542554365145	64.8844856309091	0.890375156738045	6.97091374545454	3.76449159833663	-9.94724398181819
"11"	"GO:0060337"	3.3671409216304	39.2163807266667	0.306411874434811	0.0917411299999998	-0.0467979871283042	-0.403266466666667	-0.268252902509467	-1.7323147295
"12"	"GO:0060999"	1.1598506236885	-40.829999	0.418356406691544	-28.3564478333333	2.00726370735629	-31.7462953333333	3.15594693892231	-14.7813383333333
"13"	"GO:0002026"	0.449580004550882	-5.02301725833333	-0.572082283180066	-3.94818566666667	3.74299234553271	-33.9092336083333	-0.286001189602	4.87653811666667
"14"	"GO:0006418"	0.66796505010619	1.5756508	-0.710187138709685	-2.91749666857143	-0.162914586688373	-3.59971891428571	5.72418463459153	-1.06619825714286
"15"	"GO:0006506"	1.63284916725836	0.874549177272727	1.68798689583061	2.93149545	4.69363905188118	2.44962804090909	4.05691112172603	7.13204272272727
"16"	"GO:0006801"	-1.34225554100215	-34.4337620083333	0.234873798211311	-33.7027476	-1.74877892903922	-27.4701086608333	-8.71419665587769	-37.7750577083333
"17"	"GO:0006904"	4.2175944865794	35.7065294263158	0.233543869261439	9.61739344210526	1.35640877126536	-12.7004275789474	0.213325844366295	-10.7775346368421
"18"	"GO:0007271"	0.726359372237823	-42.1908082846154	-0.674634171348202	-13.7831514953846	3.30318812151063	-42.4315163076923	1.2009255725971	-38.9619194492308
"19"	"GO:0007346"	-4.64742005105364	-5.690435695	0.228420074862584	-7.22731616	-0.468208432040157	-6.53422405	-1.35352229862488	-8.138476165
"20"	"GO:0007398"	-1.09363085243049	-16.131443225	-4.09912943321723	-15.0853938333333	-5.60652362290347	-16.212098475	-5.67088261163285	-12.2911614333333
"21"	"GO:0010971"	3.44951145841128	-28.874875	1.44457217135647	-36.2859627	0.856382439558615	-39.5257784545455	0.541319113775387	-32.5227072909091
"22"	"GO:0019843"	2.56644615089527	-27.029271331579	3.03936086747979	-28.7319363842105	3.16483524683343	-37.4983192578947	-0.498990385576406	-42.4258791736842
"23"	"GO:0030126"	-1.30912741001099	-0.282626363636363	0.0601097709291025	1.28269618181818	0.910731574297639	95.1735733636364	-3.29279352668088	-2.66737718181818
"24"	"GO:0030134"	4.3366966346635	-18.1946015117647	0.858599278145334	-25.8853319058824	2.22069865537031	-28.0318358058824	4.36243455875865	-24.777613
"25"	"GO:0030279"	-0.289894676697095	-3.98862128166667	-1.83771855120139	-3.37446997833333	-1.58771874902086	-4.723012395	-4.22528444717513	-4.55558886166667
"26"	"GO:0030518"	0.608639247765424	-5.85464	2.477753411008	-5.64597927272727	-0.566910966254582	-7.92109536363636	3.32939816555508	-8.23880518181818
"27"	"GO:0030667"	0.732230987636399	-58.3158333076923	-0.705766330971414	-84.2836214230769	-0.827323839772589	-99.6595898615384	-3.75729187380716	-96.1838769230769
"28"	"GO:0030904"	0.412850497693597	-10.552255375	1.44307189326481	-6.3845463125	2.13835228243885	-5.8911163125	4.42718953830932	-11.279648375
"29"	"GO:0031624"	-3.56942344071632	-7.0826518	1.64947246186672	-6.5849082	0.0391265767156739	-6.04768722	-0.275494796183608	-8.39151835
"30"	"GO:0031641"	-3.03915696422916	-22.7916806209091	-0.521645593715817	-16.74387466	-2.62380532980993	-25.3488202054545	-2.69612621050359	-20.4079592481818
"31"	"GO:0042326"	-3.13135092958729	-9.10117998181818	-5.07517817989918	-5.31338824545455	-2.58191160593213	-10.8683603545455	-1.36066920539578	-11.6532894
"32"	"GO:0043393"	0.106345590085198	-24.2263439411765	-1.18368287387551	-25.6605544411765	-2.88969415791621	-26.2432185882353	-3.12958761962506	-26.2739037647059
"33"	"GO:0043425"	-2.38433802522684	-21.6232251588235	-5.07296882925374	-10.8133206423529	-2.4619286672712	-24.3196790470588	-1.49379792225545	-26.4430029176471
"34"	"GO:0043984"	0.257276281352304	-6.2723100625	-3.33897997336642	-6.1368309375	-3.4085771859536	-7.5330786875	-1.43954417186541	-9.081716625
