"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"	"model"
"GO:0034199"	1.27165103632081e-05	0.0147557274766041	0.955928096914302	0.0102583466994254	1.48739815106044e-05	5.92854733989484e-06	1.73813405185992e-05	0.000408119852556676	0.0185988086773792	"0.955928096914302"	"3"	"HCanc-to-anc"
"GO:0034198"	0.000111381784666862	0.984703609751116	0.00063316191073589	0.000936386257016283	0.00018525931849834	4.87434625946034e-05	5.69790406921394e-05	0.00519319656525873	0.00813128190942109	"0.984703609751116"	"2"	"Chimp-to-anc"
"GO:0030855"	2.46344673460443e-08	0.140401313981139	0.0987268322166147	2.7270416347411e-05	0.280066020685068	3.22756947600228e-08	5.28925649048386e-05	0.000288680728646201	0.480436932497117	"0.480436932497117"	"9"	"OU"
"GO:0031103"	8.33045156784765e-09	0.0002201196415468	0.358549110116799	0.641229089374206	3.06490414260359e-09	1.13138420780598e-07	1.7619971389316e-08	2.45802822466007e-07	1.29291087799824e-06	"0.641229089374206"	"4"	"Gorilla-to-anc"
"GO:0031100"	9.50243655761279e-53	1.67778758760145e-28	0.000106601384762568	0.999893398615238	1.02975763863498e-47	2.03462144157605e-44	1.77519122013e-44	2.05578817236661e-45	9.22810305280776e-31	"0.999893398615238"	"4"	"Gorilla-to-anc"
"GO:0050830"	2.00948478610478e-09	0.999968506620446	2.12181106564956e-09	9.13863133488981e-10	1.11192937196845e-05	4.98841422399738e-06	3.15913318117809e-09	1.41309914925575e-07	1.52361574027669e-05	"0.999968506620446"	"2"	"Chimp-to-anc"
"GO:0050839"	2.30114729087356e-38	1.07314224259222e-25	1.60846419016421e-07	0.999999839153581	2.36961549796652e-35	1.47254729581851e-31	9.68360069364645e-34	1.13525775960747e-32	7.69867700201499e-22	"0.999999839153581"	"4"	"Gorilla-to-anc"
"GO:0051781"	0.00576008991108179	0.00406808840041795	0.0188114380457382	0.123346996483104	0.00321516219215752	0.837840147510988	0.00214110535652671	0.0048167543948432	2.17705143070849e-07	"0.837840147510988"	"6"	"Orang-to-anc"
"GO:0010906"	0.0061600509777419	0.0183294486439226	0.0832486284086778	0.557524382955739	0.00958230074639019	0.00378760637252746	0.00352792559857722	0.305999131770881	0.0118405245255432	"0.557524382955739"	"4"	"Gorilla-to-anc"
"GO:0046658"	1.92551910194907e-15	2.87133445531329e-10	0.00997386801541171	0.990026131448397	3.56090490989338e-15	1.07198963938516e-13	2.10149521755269e-14	3.00541818243792e-13	2.48624020266782e-10	"0.990026131448397"	"4"	"Gorilla-to-anc"
"GO:0046655"	4.2428327464688e-18	3.29241172228758e-10	0.059575305894793	0.94042469373387	2.55936350329265e-17	5.83740493914467e-17	7.42022806521815e-16	7.2365810278706e-16	4.20938890873215e-11	"0.94042469373387"	"4"	"Gorilla-to-anc"
"GO:0005719"	0.000769796415618252	0.127049544887453	0.126485862257129	0.472188326905738	0.00274769703901923	0.000285279780012654	0.269841630827415	0.000591857517569682	4.0004370044973e-05	"0.472188326905738"	"4"	"Gorilla-to-anc"
"GO:0051879"	7.52361673266932e-17	2.31327358898078e-09	0.999953198665518	3.36863850643173e-05	3.34610015519337e-10	8.38328289959062e-15	1.4645109047184e-13	4.5091355326617e-14	1.31123013344064e-05	"0.999953198665518"	"3"	"HCanc-to-anc"
