"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"GO:0034199"	1.4020755114114e-05	0.654219173407204	0.00325102202141747	0.00298553595375848	8.67908261271017e-06	6.17530805198765e-05	0.000118342145575455	0.00121434207831799	0.33812713147548
"GO:0034198"	1.06629893667013e-05	0.0390058640321678	0.00178511091333218	5.2695588899047e-06	0.0653401227821914	1.32152098885695e-05	8.57859609571645e-06	0.000808756880933972	0.893022419037134
"GO:0030855"	8.46918982026597e-14	0.998986983352905	3.93742419495109e-13	3.15519469474905e-14	9.24118374962585e-11	0.000687023459628728	1.93315615070729e-10	4.61902437986564e-09	0.000325988282204055
"GO:0031100"	7.72759152788141e-24	1.13272339014201e-06	0.000816993615904939	3.91970192279141e-14	7.76172027761499e-08	2.85960107603295e-24	5.10883203775481e-17	9.93242892953995e-18	0.999181796043463
"GO:0050830"	1.52189897638687e-11	0.982308658920205	0.00170532668855867	6.08020042641906e-12	7.22840061195833e-12	0.000903001190274541	1.5293420781249e-07	7.52102950393319e-09	0.0150828527171973
"GO:0050839"	0.000215759402021377	0.00053362443157774	0.516691745504981	0.100051399558543	0.00508689697625004	0.000128570551801423	0.000170598029525432	0.000418238032978705	0.376703167512321
"GO:0051781"	1.29149429950268e-08	0.431477626788111	4.93525484003041e-08	8.39407784344548e-09	7.05427917767942e-08	0.0670849157300495	1.79061249181978e-07	1.10824673523456e-05	0.501426054748877
"GO:0010906"	0.0096754349202706	0.0185001077085622	0.164069167619072	0.448585800582504	0.015389278316708	0.00905387532564914	0.00436305063084336	0.326840150825683	0.0035231340707085
"GO:0046658"	1.73826613310623e-09	7.77066339755106e-05	0.968930078191958	0.0177063510137318	7.91822253131495e-06	1.21761719883464e-08	2.32391155036124e-08	1.81297357893839e-07	0.0132777274868922
"GO:0046655"	1.55406456149451e-05	0.0467747274548948	1.10482147994647e-05	9.86192677106199e-06	0.000289823296427812	0.0559698316547633	4.83835434668173e-05	0.000716599322953842	0.896164183940308
"GO:0005719"	3.93413721473561e-09	0.0336523155306493	4.99566356572637e-06	6.52683563125525e-09	0.0187804856436511	5.21441073896891e-08	1.81547419688648e-06	5.53883845854665e-07	0.947559771199011
"GO:0051879"	0.00295309307793189	0.0522539575366015	0.120229390907408	0.00467141461036361	0.544413451544854	0.00235801285025473	0.160164999819068	0.00273616652645218	0.110219513127066
"GO:0007626"	1.85489555878503e-14	1.93921545735196e-06	7.95373100652732e-09	1.22390725428838e-14	0.37389325213905	3.2369546853079e-13	4.5769197442708e-14	1.5455056763329e-09	0.626104799145856
"GO:0007623"	1.08555637104899e-19	1.19738414717074e-06	0.0953715178407631	3.74282661037612e-08	1.8470188018854e-11	4.48681655849726e-20	3.5156634767336e-16	4.19601852293237e-13	0.904627247327933
"GO:0006629"	5.18376839226285e-50	2.49407942583135e-17	0.999303909049822	1.43414291673466e-15	2.21240695336985e-27	1.23651824139841e-41	4.63092665104339e-43	1.33490180497623e-36	0.00069609095017637
"GO:0006626"	2.27339993202431e-08	0.996854320600008	2.92180421194671e-07	5.77064664598669e-08	9.31870368542506e-08	3.4824545526009e-06	5.10765254727241e-07	4.95302141095007e-06	0.00313626735085
"GO:0007628"	0.0114809238068538	0.0633168466785736	0.00520099551350505	0.00459009634392255	0.0246719251852199	0.674079362165799	0.18017055880391	0.00867397691186941	0.0278153145903468
"GO:0036459"	2.52141673500406e-06	0.000825761015948869	0.000262642745904868	4.21760309342713e-06	0.9184557751135	2.65708165976007e-06	0.000168904388055178	2.29745330062817e-05	0.0802545461020969
"GO:0030674"	2.20629684034579e-26	2.18196552499223e-14	1.81335711284008e-19	1.52450080364844e-16	1.2970089627727e-27	1.90245853096581e-24	3.96551919960315e-28	0.999999999999978	2.45424002962411e-28
"GO:0030672"	2.06625213432279e-13	0.498164524476948	0.00394269677857002	1.56764511962106e-05	2.34524809170924e-06	8.02233847129137e-14	1.22776339365266e-09	3.48406638656925e-09	0.497874752333078
"GO:0030670"	9.0781301435848e-46	3.59301785183272e-26	3.26836584218614e-17	6.76870416410088e-46	1	6.82484022463162e-45	6.1557582014167e-42	1.74850133704903e-39	8.73025293271119e-17
"GO:0048384"	0.00647202022062097	0.508461971255935	0.0115532343844692	0.0692375599278723	0.00248274951824109	0.00310565610594679	0.00249939280715874	0.386770805627583	0.00941661015217363
"GO:0000289"	3.32636507265758e-06	0.00136293119623219	0.743944568096273	0.0506293783570281	5.85092414917552e-05	1.48610146228181e-06	3.02524693931647e-06	0.000361222888344635	0.203635552507156
"GO:0000287"	1.28255073637914e-114	2.9909259307257e-61	2.52596368341695e-109	1.14370606646734e-99	6.48225224476235e-111	1	1.762627880617e-92	1.04144083756046e-92	8.34638150308167e-52
"GO:0045070"	0.00148962938822506	0.0288270102932671	0.0646978726630558	0.00263708305411494	0.0195127877875998	0.00181695243293066	0.00150032693128245	0.0171927003800604	0.862325637069464
"GO:0000281"	1.28714445048342e-09	5.32734884840333e-06	5.62630308100323e-06	5.37166054266193e-10	0.998827257325109	5.59929546655356e-09	1.54586292462921e-08	1.53143237789439e-08	0.00116175082640263
"GO:0055007"	0.00391294600351292	0.0051350252404317	0.00276057301179674	0.0165220835974391	0.00260734888631132	0.760533374932625	0.11536687969628	0.0014492807758799	0.0917124878557228
