"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"	"model"
"GO:0034199"	1.77332958562295e-07	0.00231607218074555	0.0283101037575445	4.87328976336741e-07	0.0407730809664206	3.87716514367182e-07	3.01859478629914e-05	3.17034354736842e-06	0.92856633442543	"0.92856633442543"	"9"	"OU"
"GO:0034198"	3.21857818552376e-09	0.17205994165558	5.08976276026211e-05	4.58886013665577e-09	7.60991097857477e-07	8.57252265101108e-06	8.06152267140761e-07	1.43224324494893e-06	0.827877581000118	"0.827877581000118"	"9"	"OU"
"GO:0030855"	1.390555905933e-13	4.84855897811485e-08	5.27116556642966e-14	9.01901863444679e-13	5.75577954760078e-13	0.988636891344952	5.18126872184269e-11	1.62268319118949e-10	0.0113630599537079	"0.988636891344952"	"6"	"Orang-to-anc"
"GO:0031100"	1.68100479392371e-11	1.97008864460301e-06	5.16221337541407e-11	7.41001549212082e-12	5.4633856530112e-07	0.00106689099217772	1.76018690445018e-08	2.85446515964025e-08	0.99893054635825	"0.99893054635825"	"9"	"OU"
"GO:0050830"	2.26806802954456e-15	0.999984404802235	7.85686320008529e-10	1.55691446819794e-05	1.03381069546877e-15	1.29654473798114e-15	6.35242860321807e-14	5.49522315621548e-12	2.52618332756888e-08	"0.999984404802235"	"2"	"Chimp-to-anc"
"GO:0050839"	2.73184046698778e-09	0.000126524679137049	0.00189539142627999	2.83075990615992e-09	1.2660135230515e-07	2.72151946718793e-06	2.33628581520129e-06	5.57708367855516e-07	0.99797233621698	"0.99797233621698"	"9"	"OU"
"GO:0051781"	0.00041975838978342	0.000212475888053704	0.000503187690980978	0.00015500163119312	0.990330899688708	0.00015444781495532	0.00798474453720713	0.000215364468096868	2.41198910214464e-05	"0.990330899688708"	"5"	"HCGanc-to-anc"
"GO:0010906"	0.0004337784715832	0.00629985673275442	0.00831423411046722	0.00028773585347688	0.0858919222318588	0.00182831901561896	0.0341144628045381	0.000464115751092723	0.86236557502861	"0.86236557502861"	"9"	"OU"
"GO:0046658"	3.44831228498226e-05	0.0130894953335987	0.00266071359717364	8.12164744301674e-05	0.0694287160866014	2.25946199790539e-05	5.54688850208109e-05	0.00137131149165715	0.913256000388689	"0.913256000388689"	"9"	"OU"
"GO:0046655"	2.51244523627854e-06	0.000702427812053294	0.00705093137219363	1.27237621495349e-05	0.0105501553917388	2.02006143215829e-06	7.11876319413709e-06	9.57904389340877e-05	0.981576319953068	"0.981576319953068"	"9"	"OU"
"GO:0005719"	3.28329897942913e-09	0.854082197219915	4.26988405842961e-07	1.58015828161791e-09	3.15753184089206e-05	1.33144255093244e-05	5.89218601343293e-07	6.4734481168649e-07	0.14587124462089	"0.854082197219915"	"2"	"Chimp-to-anc"
"GO:0051879"	2.35620806192748e-07	5.70532164878898e-06	4.38992550180362e-05	6.8195998269117e-07	0.00433341616632664	9.27768495983463e-08	8.75264516785238e-08	6.21450700267233e-05	0.99555373630289	"0.99555373630289"	"9"	"OU"
"GO:0007626"	0.0141462851141073	0.00582644243980832	0.0842529118918436	0.0888658410745865	0.00644007324442994	0.27698834737195	0.427120325782512	0.0370089825206603	0.0593507905601029	"0.427120325782512"	"7"	"HCGOanc-to-anc"
"GO:0007623"	1.60608684803065e-25	3.02026367856613e-06	3.22703275373023e-20	6.6358320286205e-26	2.64713270932574e-11	4.91143141014051e-15	2.56069188591148e-18	2.81508288035391e-18	0.999996979709845	"0.999996979709845"	"9"	"OU"
"GO:0006629"	5.8983464540412e-27	0.72755186160695	1.03126293868518e-13	3.10452365286843e-14	6.46744395832981e-27	3.82488180857283e-20	3.36571667264688e-16	8.77451085719149e-15	0.272448138392907	"0.72755186160695"	"2"	"Chimp-to-anc"
"GO:0006626"	0.000253590858238234	0.00353327931065945	0.0642771888415131	0.000590052065456965	0.84553912748309	0.00012392886764475	0.0352938153005577	0.000169295712458164	0.0502197215603814	"0.84553912748309"	"5"	"HCGanc-to-anc"
"GO:0007628"	4.22314643013558e-06	0.0380435556815706	2.86630278395024e-05	3.44098914940406e-06	4.76836542440455e-05	0.00292657627928481	0.000213032389377098	0.000358742505282367	0.958374082326822	"0.958374082326822"	"9"	"OU"
"GO:0036459"	1.61104760904695e-17	2.50979159618306e-07	5.8636833671904e-06	3.76692213729402e-15	1.24382771527477e-06	1.60842882617035e-16	5.93338387799072e-12	6.87512339204764e-14	0.999992641503752	"0.999992641503752"	"9"	"OU"
"GO:0030674"	1.32123915228279e-08	4.56182611529699e-08	1.38517176717748e-09	2.58508897447289e-09	2.82340906411768e-09	1.25636382069478e-05	0.999987367048506	2.34858154072647e-09	1.34038253501884e-09	"0.999987367048506"	"7"	"HCGOanc-to-anc"
