"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"GO:0034199"	1.77332958562295e-07	0.00231607218074555	0.0283101037575445	4.87328976336741e-07	0.0407730809664206	3.87716514367182e-07	3.01859478629914e-05	3.17034354736842e-06	0.92856633442543
"GO:0034198"	3.21857818552361e-09	0.172059941655572	5.08976276026188e-05	4.58886013665556e-09	7.60991097857441e-07	8.57252265101068e-06	8.06152267140723e-07	1.43224324494887e-06	0.827877581000126
"GO:0030855"	1.39055590593284e-13	4.8485589781143e-08	5.27116556642967e-14	9.01901863444578e-13	5.75577954760013e-13	0.988636891344953	5.18126872184211e-11	1.62268319118931e-10	0.0113630599537066
"GO:0031100"	1.68100479392371e-11	1.97008864460301e-06	5.16221337541407e-11	7.41001549212082e-12	5.4633856530112e-07	0.00106689099217772	1.76018690445018e-08	2.85446515964025e-08	0.99893054635825
"GO:0050830"	2.26806802953953e-15	0.999984404802235	7.85686320006698e-10	1.55691446819449e-05	1.03381069546647e-15	1.29654473797826e-15	6.35242860320399e-14	5.4952231562033e-12	2.52618332756328e-08
"GO:0050839"	2.73184046698778e-09	0.000126524679137049	0.00189539142627999	2.83075990615992e-09	1.2660135230515e-07	2.72151946718793e-06	2.33628581520129e-06	5.57708367855516e-07	0.99797233621698
"GO:0051781"	0.000419758389783444	0.000212475888053716	0.000503187690981006	0.000155001631193128	0.990330899688708	0.000154447814955328	0.00798474453720758	0.00021536446809688	2.41198910214451e-05
"GO:0010906"	0.0004337784715832	0.00629985673275442	0.00831423411046722	0.00028773585347688	0.0858919222318588	0.00182831901561896	0.0341144628045381	0.000464115751092723	0.86236557502861
"GO:0046658"	3.44831228498226e-05	0.0130894953335987	0.00266071359717364	8.12164744301674e-05	0.0694287160866014	2.25946199790539e-05	5.54688850208109e-05	0.00137131149165715	0.913256000388689
"GO:0046655"	2.51244524378873e-06	0.000702427814153028	0.00705093139327024	1.27237621875687e-05	0.0105501554232752	2.02006143819665e-06	7.11876321541647e-06	9.57904392204241e-05	0.981576319897996
"GO:0005719"	3.28329897942913e-09	0.854082197219915	4.26988405842961e-07	1.58015828161791e-09	3.15753184089206e-05	1.33144255093244e-05	5.89218601343293e-07	6.4734481168649e-07	0.14587124462089
"GO:0051879"	2.35620806192748e-07	5.70532164878865e-06	4.38992550180362e-05	6.8195998269117e-07	0.00433341616632664	9.27768495983463e-08	8.75264516786233e-08	6.21450700267233e-05	0.99555373630289
"GO:0007626"	0.0141462851141073	0.00582644243980832	0.0842529118918436	0.0888658410745865	0.00644007324442994	0.27698834737195	0.427120325782512	0.0370089825206603	0.0593507905601029
"GO:0007623"	1.60608684803065e-25	3.02026367856613e-06	3.2270327537306e-20	6.6358320286205e-26	2.64713270932574e-11	4.91143141014051e-15	2.56069188591148e-18	2.81508288035391e-18	0.999996979709845
"GO:0006629"	5.8983464540412e-27	0.72755186160695	1.03126293868518e-13	3.10452365286843e-14	6.46744395832834e-27	3.82488180857283e-20	3.36571667264688e-16	8.77451085719149e-15	0.272448138392907
"GO:0006626"	0.000253590858238231	0.00353327931065941	0.0642771888415123	0.000590052065456958	0.845539127483081	0.000123928867644734	0.0352938153005573	0.000169295712458162	0.0502197215603923
"GO:0007628"	4.2231464301357e-06	0.0380435556815716	2.86630278395032e-05	3.44098914940406e-06	4.76836542440455e-05	0.00292657627928472	0.000213032389377098	0.000358742505282367	0.958374082326821
"GO:0036459"	1.61104760904695e-17	2.50979159618306e-07	5.86368336719007e-06	3.76692213729402e-15	1.24382771527477e-06	1.60842882617044e-16	5.93338387799072e-12	6.87512339204764e-14	0.999992641503752
"GO:0030674"	1.32123915228279e-08	4.56182611529699e-08	1.38517176717748e-09	2.58508897447289e-09	2.82340906411768e-09	1.25636382069478e-05	0.999987367048506	2.34858154072647e-09	1.34038253501884e-09
"GO:0030672"	8.72371551198411e-12	5.70015042787344e-06	0.0120409602002407	5.3339830907838e-07	0.0646266175634387	3.56985970113684e-12	6.52254445606586e-09	6.26061033584249e-09	0.923326175892135
"GO:0030670"	7.30265577621471e-13	0.997231633686383	1.24428323052613e-11	5.91037845409841e-11	2.81271432779085e-13	3.15943668396774e-09	1.90650455070957e-12	2.0176699447021e-06	0.00276634540977081
"GO:0048384"	0.000608391758515154	0.00562058995346434	0.000301820200680632	0.000482398517823077	0.0574972814493854	0.0772366257890113	0.00187875844914609	0.00211170204155417	0.85426243184042
"GO:0000289"	1.49468679025074e-09	3.75346277335817e-06	0.000391449941292256	1.8088575678086e-08	0.0816230122665751	5.74656718840132e-10	1.32932596166837e-08	1.09879840674326e-07	0.91798164099834
"GO:0000287"	2.72878418165599e-24	9.62279874408598e-12	3.94399957570105e-09	1.45711181943937e-18	0.778433503428541	7.19496652285781e-23	1.4258426407511e-10	2.96106364513341e-20	0.221566492475252
"GO:0045070"	1.12569056979268e-07	0.0148487779810917	0.0271455996464477	3.35322522614506e-06	0.00741959002086642	6.65287323281279e-08	2.53281319196407e-05	3.54395677846326e-06	0.950553627939881
"GO:0000281"	0.00146309944332451	0.0873754875731809	0.00426857378722	0.00347233045018073	0.000920212422148589	0.0421947523522462	0.0581451361254834	0.00684671171262459	0.795313696133591
"GO:0055007"	0.000136491958199041	0.00150632072456302	0.369463054676093	0.00420059816025076	0.00305399654281916	5.03197603244833e-05	0.000114988933490198	0.00135021676462204	0.620124012479638
