"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"GO:0034199"	4.69185512325653e-07	0.000372187400021275	0.0013518528758888	1.7277710984434e-07	0.59721427009185	1.03651431108201e-06	8.91093954764049e-07	1.2365526017019e-05	0.401046754535335
"GO:0034198"	0.0138778295771049	0.215468615271934	0.00510904487524451	0.00514729740107025	0.00899678373278394	0.278348030160153	0.0254562389679149	0.0197810799796458	0.427815080034148
"GO:0030855"	9.64316413981999e-08	4.52684013630759e-07	2.39731972569488e-06	3.6731189928418e-08	0.879427531223183	1.36416842926976e-07	3.57354843659785e-08	5.18075787599304e-06	0.120564132700043
"GO:0031100"	2.80838533063361e-20	6.42019665876574e-11	8.8789302499227e-07	1.60179201815692e-16	0.997802607660176	1.13441514486951e-20	3.01915390944214e-12	4.71739420876968e-18	0.00219650437957811
"GO:0050830"	0.000525336619599131	0.000208951899867067	0.00100087471023695	0.000193478026687288	0.981199217616547	0.000287331560871593	0.00479362337488884	0.0116000932004818	0.000191092990820642
"GO:0050839"	0.44686100207913	1.71274157775243e-12	2.86296963937627e-12	0.553138268407678	6.70785491605662e-07	2.54201696409775e-11	2.24843262825226e-10	1.26491559202111e-09	5.7207946234684e-08
"GO:0051781"	0.0716320703572621	0.0549297168603502	0.0534022376008878	0.282137904820301	0.0928090167800903	0.0413491383331416	0.0474753019495922	0.330574529157536	0.0256900841408395
"GO:0010906"	2.25988440127474e-09	4.62325863697089e-07	0.000380744397882084	1.40901129740929e-08	0.999362946017729	8.32044959769174e-10	3.87289948238049e-09	1.28946794532616e-07	0.00025569725678911
"GO:0046658"	0.00278647887040283	0.00201116879237936	0.00125311604787448	0.0129666783228766	0.0384174439953078	0.00324179145005859	0.899160663620957	0.0273548254997802	0.0128078334003634
"GO:0046655"	0.117140462152198	0.0449843407873091	0.0672175814170611	0.0471408267125682	0.450650680614354	0.0567113674787649	0.121165677770175	0.0521591211393482	0.0428299419282217
"GO:0005719"	6.33236114105139e-08	0.00481052004602679	0.116174416842119	0.00218525724047983	2.67493158788256e-05	3.21944565059102e-08	2.30845348698485e-06	1.53510322947545e-06	0.876799117480711
"GO:0051879"	0.000331450976050842	0.00417494044026739	0.00203484166458264	0.000122138893475183	0.968420223361344	0.00130519186799818	0.00386986947304759	0.000378038988767089	0.0193633043344667
"GO:0007626"	5.61598229478562e-22	2.93273939650108e-12	9.46749642871559e-22	4.35466611251492e-14	5.60908883785313e-16	0.99999994271103	1.5970117273988e-15	7.00636585631353e-18	5.72859921257978e-08
"GO:0007623"	7.63787960443591e-08	6.39144174975675e-07	1.27761613513269e-05	2.81033853764887e-08	0.936722676323842	1.21128677223602e-07	2.81444124203291e-08	9.98736457342005e-06	0.0632536672507871
"GO:0006629"	3.11310207888197e-87	1.02023590450574e-31	0.999788657045496	0.000211342954504206	1.20245222452797e-104	1.31830434893216e-104	4.49607264787982e-86	3.87327400520038e-92	1.40529964432645e-96
"GO:0006626"	0.00196376195101589	0.00844560162791294	0.0956128569568115	0.00172204443254792	0.211214897399057	0.000894021829750146	0.000975241498956399	0.00980810820406907	0.669363466099879
"GO:0007628"	0.14741056867145	0.0764179059394347	0.223556249216621	0.14994844904277	0.185907990080413	0.0566576201459497	0.0817077859815181	0.0612585606429618	0.017134870278881
"GO:0036459"	0.0269654047618321	0.0414663045376775	0.0276945658846379	0.011196260089003	0.787406187801307	0.0309466386604982	0.0490271154465477	0.0155382391490958	0.00975928366940052
"GO:0030674"	0.00327120420528287	1.47307745000949e-15	3.45538099682786e-15	0.996728773026983	2.24314818451298e-08	4.23709101026286e-14	8.62934012091222e-13	4.79000985210391e-12	3.30552330041371e-10
"GO:0030672"	0.0516865805850054	0.0190158624917625	0.0190955721957149	0.0194778539566595	0.0193448446629343	0.0742834086922941	0.681708538924745	0.0965309679821632	0.0188563705087214
"GO:0030670"	2.47410592148872e-13	0.999999759430988	1.06318365226255e-10	4.65067971769426e-12	2.26561281562705e-07	2.08932261931972e-12	1.33959107150718e-08	4.09331479417716e-10	8.91820908111563e-11
"GO:0048384"	1.74586976955773e-06	5.57158266591117e-06	9.48712535481979e-06	6.5042006833382e-07	0.997771550776415	2.56686130449806e-06	3.71804542278518e-06	2.43060298272325e-06	0.00220227871601677
"GO:0000289"	0.0150533317697741	0.011257783811527	0.163745589035597	0.106894677818862	0.369194366288133	0.0102354904177496	0.316838512930032	0.00580442144574965	0.000975826482575767
"GO:0000287"	2.54902819526645e-13	1.07549073165407e-12	7.69176780838503e-13	3.23811346027052e-07	9.82498725060742e-09	0.999999341539886	3.24821463070409e-07	1.17449805486395e-13	1.00949097321166e-13
"GO:0045070"	0.00040319720188629	0.00604716530330462	0.436064466422499	0.542488751566706	0.000436581539862302	0.000160891767735575	0.00565087836596251	0.000612648688040522	0.00813541914400329
"GO:0000281"	0.0297430638420391	0.234915584593528	0.0994492256571595	0.0813200410581034	0.0803336588233283	0.0123906804239494	0.0147070748117325	0.186539359128994	0.260601311661166
"GO:0055007"	3.01120444657951e-10	1.12752931859831e-06	7.5179613546091e-07	3.25113159849067e-10	0.999744809731948	3.21155431944066e-10	2.85538825531356e-08	1.0257187299579e-08	0.000253271184139166
"GO:0006974"	4.20884605721876e-19	4.40149395606506e-11	4.01540933158681e-12	2.68588526812251e-19	0.999999989437209	7.71827392928928e-13	1.02760050400625e-09	1.35202047003147e-16	9.48638817952787e-09
"GO:0048037"	0.0211219247127026	0.000810072971479684	0.00279192630424766	0.00454085699829002	0.00165939649000855	0.272718944186854	0.613282685527932	0.0822843989369399	0.000789793871545816
"GO:0043928"	1.54919519870895e-06	0.000605101132869183	0.0411220094098466	1.18361408046937e-06	0.00113326663775189	4.38395851690443e-06	5.38664522197915e-06	7.41180335030128e-05	0.957053001373011
"GO:0006979"	1.68249996359445e-09	5.60382309060992e-08	2.99107008670835e-07	4.33957730013794e-06	7.89746242135615e-10	1.82841749305361e-09	0.999995245453444	6.43981055239694e-10	5.48793715856858e-08
"GO:0004197"	1.02225941732618e-29	5.73530469530317e-17	4.54104942012036e-24	6.67920314503459e-25	1.21337407391354e-28	1.95177314271234e-27	9.04884363558032e-27	1	3.56205549216352e-30
"GO:0004190"	3.10991702151124e-09	9.77373853763179e-06	2.28716403818724e-08	2.18338400893765e-08	2.29246086461642e-09	9.93926877101519e-08	9.60045802646141e-08	0.999989979626358	1.12997808920994e-09
"GO:0004198"	0.0360505577040807	0.0518339969489639	0.0298406193013976	0.051654158106723	0.0181063544188197	0.0133074218106809	0.0336555898834746	0.752413548876381	0.0131377529494791
"GO:0018107"	5.91907324708853e-05	0.0659765710078917	0.000533358635563921	2.20361883629776e-05	0.00883807026029647	0.00295929788752595	0.00257465554389098	0.000505618618063981	0.918531201125933
"GO:0018105"	1.39964617788025e-07	5.86593058594919e-07	5.07977614815579e-07	6.10789601672826e-08	0.999394419735315	6.79538520833006e-06	0.000597437763716649	5.15014540932349e-08	5.46695375761757e-14
"GO:0018108"	0.0798920780875127	0.334192809584638	0.0474451010380221	0.120444925203833	0.0976889248588556	0.115628083180821	0.0298040327017527	0.145544059408616	0.0293599859359487
"GO:2000060"	3.51335478282272e-12	0.97560571283915	6.57711198781072e-14	6.56118060363876e-14	4.8781947896113e-13	0.0243942818116483	8.01254656644692e-12	2.36011025394668e-11	5.31345569608587e-09
"GO:0045445"	1.93838233380498e-07	0.947748836334104	3.1909353596875e-06	1.85423067630899e-07	0.00490147015738295	8.29223550183175e-07	4.20698317948233e-06	1.79950246418946e-05	0.0473230920804804
